date,Bauschutt entsorgen,isPartial
2018-01-07,35,False
2018-01-14,0,False
2018-01-21,35,False
2018-01-28,36,False
2018-02-04,36,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,36,False
2018-03-04,36,False
2018-03-11,36,False
2018-03-18,36,False
2018-03-25,38,False
2018-04-01,39,False
2018-04-08,0,False
2018-04-15,38,False
2018-04-22,37,False
2018-04-29,39,False
2018-05-06,39,False
2018-05-13,74,False
2018-05-20,80,False
2018-05-27,40,False
2018-06-03,37,False
2018-06-10,36,False
2018-06-17,37,False
2018-06-24,74,False
2018-07-01,0,False
2018-07-08,36,False
2018-07-15,36,False
2018-07-22,56,False
2018-07-29,78,False
2018-08-05,0,False
2018-08-12,40,False
2018-08-19,41,False
2018-08-26,40,False
2018-09-02,57,False
2018-09-09,37,False
2018-09-16,37,False
2018-09-23,50,False
2018-09-30,37,False
2018-10-07,0,False
2018-10-14,36,False
2018-10-21,35,False
2018-10-28,0,False
2018-11-04,35,False
2018-11-11,0,False
2018-11-18,34,False
2018-11-25,35,False
2018-12-02,35,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,41,False
2018-12-30,0,False
2019-01-06,100,False
2019-01-13,33,False
2019-01-20,33,False
2019-01-27,33,False
2019-02-03,33,False
2019-02-10,34,False
2019-02-17,45,False
2019-02-24,35,False
2019-03-03,34,False
2019-03-10,33,False
2019-03-17,35,False
2019-03-24,34,False
2019-03-31,34,False
2019-04-07,34,False
2019-04-14,73,False
2019-04-21,36,False
2019-04-28,0,False
2019-05-05,49,False
2019-05-12,34,False
2019-05-19,33,False
2019-05-26,69,False
2019-06-02,35,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,68,False
2019-06-30,34,False
2019-07-07,33,False
2019-07-14,34,False
2019-07-21,0,False
2019-07-28,36,False
2019-08-04,38,False
2019-08-11,36,False
2019-08-18,57,False
2019-08-25,57,False
2019-09-01,35,False
2019-09-08,34,False
2019-09-15,35,False
2019-09-22,66,False
2019-09-29,0,False
2019-10-06,33,False
2019-10-13,33,False
2019-10-20,32,False
2019-10-27,64,False
2019-11-03,0,False
2019-11-10,32,False
2019-11-17,31,False
2019-11-24,31,False
2019-12-01,32,False
2019-12-08,94,False
2019-12-15,33,False
2019-12-22,0,False
2019-12-29,36,False
2020-01-05,31,False
2020-01-12,29,False
2020-01-19,30,False
2020-01-26,30,False
2020-02-02,30,False
2020-02-09,30,False
2020-02-16,31,False
2020-02-23,30,False
2020-03-01,29,False
2020-03-08,28,False
2020-03-15,27,False
2020-03-22,27,False
2020-03-29,27,False
2020-04-05,0,False
2020-04-12,38,False
2020-04-19,73,False
2020-04-26,53,False
2020-05-03,54,False
2020-05-10,67,False
