date,Musica Rilassante,isPartial
2018-01-07,50,False
2018-01-14,47,False
2018-01-21,30,False
2018-01-28,47,False
2018-02-04,28,False
2018-02-11,50,False
2018-02-18,55,False
2018-02-25,30,False
2018-03-04,56,False
2018-03-11,63,False
2018-03-18,45,False
2018-03-25,50,False
2018-04-01,30,False
2018-04-08,41,False
2018-04-15,51,False
2018-04-22,36,False
2018-04-29,28,False
2018-05-06,45,False
2018-05-13,44,False
2018-05-20,36,False
2018-05-27,50,False
2018-06-03,42,False
2018-06-10,32,False
2018-06-17,25,False
2018-06-24,42,False
2018-07-01,26,False
2018-07-08,45,False
2018-07-15,42,False
2018-07-22,43,False
2018-07-29,30,False
2018-08-05,37,False
2018-08-12,44,False
2018-08-19,39,False
2018-08-26,28,False
2018-09-02,42,False
2018-09-09,45,False
2018-09-16,55,False
2018-09-23,52,False
2018-09-30,34,False
2018-10-07,58,False
2018-10-14,68,False
2018-10-21,55,False
2018-10-28,54,False
2018-11-04,56,False
2018-11-11,55,False
2018-11-18,47,False
2018-11-25,39,False
2018-12-02,36,False
2018-12-09,51,False
2018-12-16,33,False
2018-12-23,43,False
2018-12-30,42,False
2019-01-06,49,False
2019-01-13,42,False
2019-01-20,60,False
2019-01-27,53,False
2019-02-03,63,False
2019-02-10,47,False
2019-02-17,43,False
2019-02-24,41,False
2019-03-03,56,False
2019-03-10,59,False
2019-03-17,46,False
2019-03-24,47,False
2019-03-31,42,False
2019-04-07,53,False
2019-04-14,67,False
2019-04-21,43,False
2019-04-28,44,False
2019-05-05,36,False
2019-05-12,38,False
2019-05-19,51,False
2019-05-26,40,False
2019-06-02,59,False
2019-06-09,46,False
2019-06-16,49,False
2019-06-23,33,False
2019-06-30,31,False
2019-07-07,40,False
2019-07-14,43,False
2019-07-21,38,False
2019-07-28,65,False
2019-08-04,38,False
2019-08-11,47,False
2019-08-18,42,False
2019-08-25,35,False
2019-09-01,56,False
2019-09-08,55,False
2019-09-15,44,False
2019-09-22,76,False
2019-09-29,73,False
2019-10-06,51,False
2019-10-13,66,False
2019-10-20,67,False
2019-10-27,61,False
2019-11-03,67,False
2019-11-10,74,False
2019-11-17,55,False
2019-11-24,72,False
2019-12-01,65,False
2019-12-08,56,False
2019-12-15,46,False
2019-12-22,53,False
2019-12-29,63,False
2020-01-05,64,False
2020-01-12,48,False
2020-01-19,68,False
2020-01-26,63,False
2020-02-02,52,False
2020-02-09,63,False
2020-02-16,69,False
2020-02-23,36,False
2020-03-01,46,False
2020-03-08,72,False
2020-03-15,78,False
2020-03-22,80,False
2020-03-29,100,False
2020-04-05,88,False
2020-04-12,85,False
2020-04-19,85,False
2020-04-26,97,True
