date,Salle cross training,isPartial
2018-01-07,0,False
2018-01-14,44,False
2018-01-21,89,False
2018-01-28,44,False
2018-02-04,44,False
2018-02-11,0,False
2018-02-18,46,False
2018-02-25,68,False
2018-03-04,0,False
2018-03-11,46,False
2018-03-18,91,False
2018-03-25,45,False
2018-04-01,0,False
2018-04-08,45,False
2018-04-15,49,False
2018-04-22,46,False
2018-04-29,46,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,47,False
2018-05-27,45,False
2018-06-03,0,False
2018-06-10,43,False
2018-06-17,46,False
2018-06-24,46,False
2018-07-01,44,False
2018-07-08,46,False
2018-07-15,49,False
2018-07-22,0,False
2018-07-29,49,False
2018-08-05,0,False
2018-08-12,51,False
2018-08-19,49,False
2018-08-26,0,False
2018-09-02,70,False
2018-09-09,92,False
2018-09-16,45,False
2018-09-23,0,False
2018-09-30,46,False
2018-10-07,46,False
2018-10-14,46,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,45,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,45,False
2018-12-16,46,False
2018-12-23,52,False
2018-12-30,74,False
2019-01-06,45,False
2019-01-13,45,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,88,False
2019-02-10,45,False
2019-02-17,70,False
2019-02-24,46,False
2019-03-03,44,False
2019-03-10,45,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,45,False
2019-04-07,46,False
2019-04-14,93,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,44,False
2019-05-12,0,False
2019-05-19,44,False
2019-05-26,45,False
2019-06-02,42,False
2019-06-09,87,False
2019-06-16,90,False
2019-06-23,0,False
2019-06-30,44,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,70,False
2019-07-28,95,False
2019-08-04,48,False
2019-08-11,96,False
2019-08-18,94,False
2019-08-25,90,False
2019-09-01,71,False
2019-09-08,100,False
2019-09-15,43,False
2019-09-22,41,False
2019-09-29,41,False
2019-10-06,0,False
2019-10-13,42,False
2019-10-20,42,False
2019-10-27,0,False
2019-11-03,40,False
2019-11-10,0,False
2019-11-17,40,False
2019-11-24,39,False
2019-12-01,40,False
2019-12-08,60,False
2019-12-15,0,False
2019-12-22,45,False
2019-12-29,65,False
2020-01-05,39,False
2020-01-12,77,False
2020-01-19,39,False
2020-01-26,39,False
2020-02-02,39,False
2020-02-09,39,False
2020-02-16,40,False
2020-02-23,38,False
2020-03-01,0,False
2020-03-08,74,False
2020-03-15,35,False
2020-03-22,35,False
2020-03-29,34,False
2020-04-05,35,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,0,False
2020-05-17,37,False
2020-05-24,0,False
2020-05-31,0,False
2020-06-07,35,False
2020-06-14,72,False
2020-06-21,0,True
