date,Umzugsspedition,isPartial
2018-01-07,0,False
2018-01-14,64,False
2018-01-21,98,False
2018-01-28,48,False
2018-02-04,50,False
2018-02-11,33,False
2018-02-18,33,False
2018-02-25,0,False
2018-03-04,50,False
2018-03-11,49,False
2018-03-18,50,False
2018-03-25,47,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,100,False
2018-04-29,35,False
2018-05-06,0,False
2018-05-13,67,False
2018-05-20,70,False
2018-05-27,34,False
2018-06-03,34,False
2018-06-10,32,False
2018-06-17,0,False
2018-06-24,68,False
2018-07-01,33,False
2018-07-08,33,False
2018-07-15,34,False
2018-07-22,0,False
2018-07-29,35,False
2018-08-05,57,False
2018-08-12,52,False
2018-08-19,51,False
2018-08-26,34,False
2018-09-02,34,False
2018-09-09,33,False
2018-09-16,66,False
2018-09-23,34,False
2018-09-30,67,False
2018-10-07,33,False
2018-10-14,50,False
2018-10-21,65,False
2018-10-28,33,False
2018-11-04,63,False
2018-11-11,0,False
2018-11-18,31,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,49,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,34,False
2019-01-06,62,False
2019-01-13,61,False
2019-01-20,45,False
2019-01-27,30,False
2019-02-03,31,False
2019-02-10,31,False
2019-02-17,31,False
2019-02-24,64,False
2019-03-03,62,False
2019-03-10,46,False
2019-03-17,43,False
2019-03-24,64,False
2019-03-31,96,False
2019-04-07,31,False
2019-04-14,34,False
2019-04-21,0,False
2019-04-28,31,False
2019-05-05,0,False
2019-05-12,47,False
2019-05-19,62,False
2019-05-26,0,False
2019-06-02,47,False
2019-06-09,80,False
2019-06-16,33,False
2019-06-23,96,False
2019-06-30,42,False
2019-07-07,32,False
2019-07-14,33,False
2019-07-21,0,False
2019-07-28,33,False
2019-08-04,34,False
2019-08-11,43,False
2019-08-18,33,False
2019-08-25,32,False
2019-09-01,0,False
2019-09-08,32,False
2019-09-15,32,False
2019-09-22,46,False
2019-09-29,62,False
2019-10-06,31,False
2019-10-13,45,False
2019-10-20,30,False
2019-10-27,0,False
2019-11-03,29,False
2019-11-10,49,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,29,False
2019-12-08,58,False
2019-12-15,59,False
2019-12-22,0,False
2019-12-29,32,False
2020-01-05,0,False
2020-01-12,41,False
2020-01-19,37,False
2020-01-26,0,False
2020-02-02,28,False
2020-02-09,41,False
2020-02-16,28,False
2020-02-23,27,False
2020-03-01,41,False
2020-03-08,26,False
2020-03-15,63,False
2020-03-22,76,False
2020-03-29,25,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,26,False
2020-04-26,25,False
2020-05-03,38,False
2020-05-10,25,False
2020-05-17,60,True
