date,dépannage plomberie,isPartial
2018-01-07,34,False
2018-01-14,34,False
2018-01-21,33,False
2018-01-28,34,False
2018-02-04,34,False
2018-02-11,34,False
2018-02-18,36,False
2018-02-25,36,False
2018-03-04,34,False
2018-03-11,34,False
2018-03-18,35,False
2018-03-25,35,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,37,False
2018-04-22,36,False
2018-04-29,36,False
2018-05-06,37,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,33,False
2018-06-03,33,False
2018-06-10,66,False
2018-06-17,33,False
2018-06-24,0,False
2018-07-01,33,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,39,False
2018-07-29,0,False
2018-08-05,42,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,73,False
2018-09-02,69,False
2018-09-09,34,False
2018-09-16,0,False
2018-09-23,34,False
2018-09-30,0,False
2018-10-07,33,False
2018-10-14,0,False
2018-10-21,33,False
2018-10-28,36,False
2018-11-04,0,False
2018-11-11,32,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,39,False
2019-01-06,34,False
2019-01-13,34,False
2019-01-20,33,False
2019-01-27,0,False
2019-02-03,95,False
2019-02-10,67,False
2019-02-17,0,False
2019-02-24,35,False
2019-03-03,33,False
2019-03-10,34,False
2019-03-17,0,False
2019-03-24,53,False
2019-03-31,69,False
2019-04-07,36,False
2019-04-14,0,False
2019-04-21,39,False
2019-04-28,0,False
2019-05-05,37,False
2019-05-12,36,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,32,False
2019-06-09,35,False
2019-06-16,0,False
2019-06-23,35,False
2019-06-30,36,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,43,False
2019-08-04,90,False
2019-08-11,48,False
2019-08-18,0,False
2019-08-25,39,False
2019-09-01,35,False
2019-09-08,53,False
2019-09-15,69,False
2019-09-22,33,False
2019-09-29,0,False
2019-10-06,34,False
2019-10-13,35,False
2019-10-20,35,False
2019-10-27,36,False
2019-11-03,33,False
2019-11-10,34,False
2019-11-17,34,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,32,False
2019-12-15,67,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,32,False
2020-01-12,0,False
2020-01-19,34,False
2020-01-26,32,False
2020-02-02,50,False
2020-02-09,33,False
2020-02-16,34,False
2020-02-23,32,False
2020-03-01,63,False
2020-03-08,31,False
2020-03-15,33,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,100,False
2020-04-12,34,False
2020-04-19,0,False
2020-04-26,33,False
2020-05-03,31,False
2020-05-10,0,False
2020-05-17,77,True
