date,kit panneau solaire,isPartial
2018-01-07,22,False
2018-01-14,14,False
2018-01-21,0,False
2018-01-28,29,False
2018-02-04,0,False
2018-02-11,14,False
2018-02-18,15,False
2018-02-25,0,False
2018-03-04,21,False
2018-03-11,0,False
2018-03-18,15,False
2018-03-25,15,False
2018-04-01,15,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,16,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,16,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,14,False
2018-06-17,0,False
2018-06-24,16,False
2018-07-01,0,False
2018-07-08,16,False
2018-07-15,16,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,16,False
2018-08-12,33,False
2018-08-19,0,False
2018-08-26,24,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,16,False
2018-09-30,15,False
2018-10-07,30,False
2018-10-14,15,False
2018-10-21,0,False
2018-10-28,15,False
2018-11-04,0,False
2018-11-11,23,False
2018-11-18,22,False
2018-11-25,0,False
2018-12-02,15,False
2018-12-09,0,False
2018-12-16,15,False
2018-12-23,0,False
2018-12-30,16,False
2019-01-06,0,False
2019-01-13,15,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,14,False
2019-02-10,15,False
2019-02-17,15,False
2019-02-24,16,False
2019-03-03,15,False
2019-03-10,15,False
2019-03-17,15,False
2019-03-24,15,False
2019-03-31,14,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,31,False
2019-05-05,0,False
2019-05-12,15,False
2019-05-19,14,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,14,False
2019-06-16,23,False
2019-06-23,28,False
2019-06-30,14,False
2019-07-07,0,False
2019-07-14,15,False
2019-07-21,14,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,28,False
2019-08-25,14,False
2019-09-01,14,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,13,False
2019-09-29,13,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,12,False
2019-10-27,0,False
2019-11-03,26,False
2019-11-10,12,False
2019-11-17,17,False
2019-11-24,11,False
2019-12-01,11,False
2019-12-08,0,False
2019-12-15,22,False
2019-12-22,13,False
2019-12-29,12,False
2020-01-05,22,False
2020-01-12,0,False
2020-01-19,15,False
2020-01-26,11,False
2020-02-02,11,False
2020-02-09,0,False
2020-02-16,11,False
2020-02-23,0,False
2020-03-01,10,False
2020-03-08,11,False
2020-03-15,10,False
2020-03-22,10,False
2020-03-29,10,False
2020-04-05,10,False
2020-04-12,10,False
2020-04-19,0,False
2020-04-26,9,False
2020-05-03,9,False
2020-05-10,10,False
2020-05-17,11,False
2020-05-24,10,False
2020-05-31,0,False
2020-06-07,10,False
2020-06-14,11,False
2020-06-21,100,True
