date,notarios,isPartial
2018-01-07,47,False
2018-01-14,86,False
2018-01-21,19,False
2018-01-28,58,False
2018-02-04,38,False
2018-02-11,39,False
2018-02-18,49,False
2018-02-25,47,False
2018-03-04,18,False
2018-03-11,37,False
2018-03-18,29,False
2018-03-25,40,False
2018-04-01,73,False
2018-04-08,18,False
2018-04-15,28,False
2018-04-22,55,False
2018-04-29,19,False
2018-05-06,74,False
2018-05-13,20,False
2018-05-20,47,False
2018-05-27,19,False
2018-06-03,45,False
2018-06-10,36,False
2018-06-17,20,False
2018-06-24,37,False
2018-07-01,37,False
2018-07-08,47,False
2018-07-15,47,False
2018-07-22,39,False
2018-07-29,47,False
2018-08-05,18,False
2018-08-12,18,False
2018-08-19,47,False
2018-08-26,37,False
2018-09-02,46,False
2018-09-09,56,False
2018-09-16,56,False
2018-09-23,37,False
2018-09-30,18,False
2018-10-07,29,False
2018-10-14,47,False
2018-10-21,56,False
2018-10-28,38,False
2018-11-04,26,False
2018-11-11,19,False
2018-11-18,71,False
2018-11-25,28,False
2018-12-02,48,False
2018-12-09,57,False
2018-12-16,83,False
2018-12-23,21,False
2018-12-30,42,False
2019-01-06,19,False
2019-01-13,18,False
2019-01-20,69,False
2019-01-27,53,False
2019-02-03,54,False
2019-02-10,37,False
2019-02-17,46,False
2019-02-24,74,False
2019-03-03,37,False
2019-03-10,37,False
2019-03-17,19,False
2019-03-24,76,False
2019-03-31,18,False
2019-04-07,36,False
2019-04-14,0,False
2019-04-21,44,False
2019-04-28,37,False
2019-05-05,53,False
2019-05-12,36,False
2019-05-19,64,False
2019-05-26,18,False
2019-06-02,100,False
2019-06-09,35,False
2019-06-16,43,False
2019-06-23,27,False
2019-06-30,45,False
2019-07-07,54,False
2019-07-14,36,False
2019-07-21,18,False
2019-07-28,27,False
2019-08-04,49,False
2019-08-11,34,False
2019-08-18,34,False
2019-08-25,43,False
2019-09-01,35,False
2019-09-08,62,False
2019-09-15,34,False
2019-09-22,85,False
2019-09-29,42,False
2019-10-06,17,False
2019-10-13,90,False
2019-10-20,42,False
2019-10-27,41,False
2019-11-03,24,False
2019-11-10,24,False
2019-11-17,41,False
2019-11-24,31,False
2019-12-01,34,False
2019-12-08,50,False
2019-12-15,48,False
2019-12-22,53,False
2019-12-29,36,False
2020-01-05,17,False
2020-01-12,45,False
2020-01-19,32,False
2020-01-26,23,False
2020-02-02,23,False
2020-02-09,15,False
2020-02-16,24,False
2020-02-23,0,False
2020-03-01,52,False
2020-03-08,44,False
2020-03-15,28,False
2020-03-22,20,False
2020-03-29,40,False
2020-04-05,0,False
2020-04-12,23,True
