geoName,geoCode,panneau solaire
Brittany,FR-E,86.36363636363636
Centre-Val de Loire,FR-F,93.18181818181817
Corsica,FR-H,77.27272727272727
Pays de la Loire,FR-R,95.45454545454545
Provence-Alpes-Côte d'Azur,FR-U,92.04545454545455
Île-de-France,FR-J,52.27272727272727
Grand-est,FR-GE,74.62121212121212
Hauts-de-france,FR-HF,82.95454545454545
Normandie,FR-NO,93.75
Bourgogne-Franche-Comté,FR-BFC,100.0
Nouvelle-Aquitaine,FR-NA,98.1060606060606
Occitanie,FR-OC,98.86363636363636
Auvergne-Rhône-Alpes,FR-AR,90.9090909090909
