date,pose climatisation,isPartial
2018-01-07,0,False
2018-01-14,17,False
2018-01-21,25,False
2018-01-28,17,False
2018-02-04,17,False
2018-02-11,18,False
2018-02-18,28,False
2018-02-25,18,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,18,False
2018-03-25,18,False
2018-04-01,0,False
2018-04-08,17,False
2018-04-15,31,False
2018-04-22,28,False
2018-04-29,0,False
2018-05-06,38,False
2018-05-13,17,False
2018-05-20,0,False
2018-05-27,26,False
2018-06-03,0,False
2018-06-10,17,False
2018-06-17,17,False
2018-06-24,17,False
2018-07-01,34,False
2018-07-08,27,False
2018-07-15,32,False
2018-07-22,50,False
2018-07-29,52,False
2018-08-05,0,False
2018-08-12,45,False
2018-08-19,21,False
2018-08-26,0,False
2018-09-02,18,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,17,False
2018-10-07,17,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,18,False
2018-11-04,17,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,17,False
2018-12-02,0,False
2018-12-09,17,False
2018-12-16,0,False
2018-12-23,43,False
2018-12-30,20,False
2019-01-06,0,False
2019-01-13,17,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,17,False
2019-02-17,17,False
2019-02-24,18,False
2019-03-03,25,False
2019-03-10,29,False
2019-03-17,18,False
2019-03-24,0,False
2019-03-31,18,False
2019-04-07,18,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,19,False
2019-05-05,19,False
2019-05-12,18,False
2019-05-19,18,False
2019-05-26,28,False
2019-06-02,16,False
2019-06-09,36,False
2019-06-16,24,False
2019-06-23,100,False
2019-06-30,28,False
2019-07-07,0,False
2019-07-14,20,False
2019-07-21,73,False
2019-07-28,44,False
2019-08-04,23,False
2019-08-11,32,False
2019-08-18,23,False
2019-08-25,20,False
2019-09-01,27,False
2019-09-08,30,False
2019-09-15,0,False
2019-09-22,17,False
2019-09-29,17,False
2019-10-06,17,False
2019-10-13,18,False
2019-10-20,18,False
2019-10-27,18,False
2019-11-03,0,False
2019-11-10,17,False
2019-11-17,0,False
2019-11-24,17,False
2019-12-01,0,False
2019-12-08,33,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,33,False
2020-01-12,0,False
2020-01-19,17,False
2020-01-26,16,False
2020-02-02,25,False
2020-02-09,17,False
2020-02-16,17,False
2020-02-23,0,False
2020-03-01,16,False
2020-03-08,16,False
2020-03-15,17,False
2020-03-22,0,False
2020-03-29,17,False
2020-04-05,17,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,16,False
2020-05-03,16,False
2020-05-10,17,False
2020-05-17,39,True
