date,ricette torte,isPartial
2018-01-07,0,False
2018-01-14,39,False
2018-01-21,38,False
2018-01-28,26,False
2018-02-04,63,False
2018-02-11,37,False
2018-02-18,57,False
2018-02-25,57,False
2018-03-04,0,False
2018-03-11,34,False
2018-03-18,12,False
2018-03-25,63,False
2018-04-01,26,False
2018-04-08,23,False
2018-04-15,24,False
2018-04-22,13,False
2018-04-29,24,False
2018-05-06,11,False
2018-05-13,11,False
2018-05-20,35,False
2018-05-27,24,False
2018-06-03,74,False
2018-06-10,46,False
2018-06-17,45,False
2018-06-24,24,False
2018-07-01,24,False
2018-07-08,36,False
2018-07-15,0,False
2018-07-22,12,False
2018-07-29,13,False
2018-08-05,13,False
2018-08-12,16,False
2018-08-19,16,False
2018-08-26,28,False
2018-09-02,24,False
2018-09-09,58,False
2018-09-16,33,False
2018-09-23,23,False
2018-09-30,69,False
2018-10-07,23,False
2018-10-14,12,False
2018-10-21,47,False
2018-10-28,45,False
2018-11-04,44,False
2018-11-11,57,False
2018-11-18,35,False
2018-11-25,23,False
2018-12-02,53,False
2018-12-09,24,False
2018-12-16,51,False
2018-12-23,15,False
2018-12-30,54,False
2019-01-06,13,False
2019-01-13,25,False
2019-01-20,12,False
2019-01-27,11,False
2019-02-03,38,False
2019-02-10,13,False
2019-02-17,0,False
2019-02-24,23,False
2019-03-03,53,False
2019-03-10,27,False
2019-03-17,53,False
2019-03-24,39,False
2019-03-31,25,False
2019-04-07,12,False
2019-04-14,62,False
2019-04-21,14,False
2019-04-28,12,False
2019-05-05,57,False
2019-05-12,12,False
2019-05-19,13,False
2019-05-26,24,False
2019-06-02,13,False
2019-06-09,0,False
2019-06-16,26,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,25,False
2019-07-14,14,False
2019-07-21,0,False
2019-07-28,58,False
2019-08-04,0,False
2019-08-11,50,False
2019-08-18,0,False
2019-08-25,42,False
2019-09-01,60,False
2019-09-08,26,False
2019-09-15,12,False
2019-09-22,36,False
2019-09-29,24,False
2019-10-06,75,False
2019-10-13,12,False
2019-10-20,12,False
2019-10-27,74,False
2019-11-03,23,False
2019-11-10,60,False
2019-11-17,12,False
2019-11-24,36,False
2019-12-01,12,False
2019-12-08,0,False
2019-12-15,25,False
2019-12-22,0,False
2019-12-29,43,False
2020-01-05,37,False
2020-01-12,46,False
2020-01-19,47,False
2020-01-26,12,False
2020-02-02,0,False
2020-02-09,23,False
2020-02-16,47,False
2020-02-23,0,False
2020-03-01,56,False
2020-03-08,66,False
2020-03-15,77,False
2020-03-22,83,False
2020-03-29,63,False
2020-04-05,100,False
2020-04-12,68,False
2020-04-19,83,False
2020-04-26,18,True
