date,vestiti da uomo,isPartial
2018-01-07,44,False
2018-01-14,44,False
2018-01-21,54,False
2018-01-28,64,False
2018-02-04,95,False
2018-02-11,61,False
2018-02-18,14,False
2018-02-25,51,False
2018-03-04,31,False
2018-03-11,49,False
2018-03-18,43,False
2018-03-25,26,False
2018-04-01,46,False
2018-04-08,36,False
2018-04-15,51,False
2018-04-22,57,False
2018-04-29,73,False
2018-05-06,46,False
2018-05-13,54,False
2018-05-20,29,False
2018-05-27,25,False
2018-06-03,47,False
2018-06-10,49,False
2018-06-17,29,False
2018-06-24,51,False
2018-07-01,32,False
2018-07-08,36,False
2018-07-15,40,False
2018-07-22,26,False
2018-07-29,22,False
2018-08-05,31,False
2018-08-12,32,False
2018-08-19,28,False
2018-08-26,33,False
2018-09-02,56,False
2018-09-09,42,False
2018-09-16,14,False
2018-09-23,50,False
2018-09-30,46,False
2018-10-07,25,False
2018-10-14,29,False
2018-10-21,36,False
2018-10-28,39,False
2018-11-04,24,False
2018-11-11,29,False
2018-11-18,28,False
2018-11-25,25,False
2018-12-02,11,False
2018-12-09,22,False
2018-12-16,19,False
2018-12-23,30,False
2018-12-30,31,False
2019-01-06,25,False
2019-01-13,56,False
2019-01-20,34,False
2019-01-27,43,False
2019-02-03,37,False
2019-02-10,48,False
2019-02-17,49,False
2019-02-24,100,False
2019-03-03,43,False
2019-03-10,39,False
2019-03-17,43,False
2019-03-24,58,False
2019-03-31,43,False
2019-04-07,60,False
2019-04-14,51,False
2019-04-21,42,False
2019-04-28,60,False
2019-05-05,55,False
2019-05-12,41,False
2019-05-19,34,False
2019-05-26,33,False
2019-06-02,32,False
2019-06-09,32,False
2019-06-16,39,False
2019-06-23,22,False
2019-06-30,47,False
2019-07-07,31,False
2019-07-14,29,False
2019-07-21,11,False
2019-07-28,22,False
2019-08-04,23,False
2019-08-11,12,False
2019-08-18,23,False
2019-08-25,34,False
2019-09-01,36,False
2019-09-08,41,False
2019-09-15,46,False
2019-09-22,39,False
2019-09-29,30,False
2019-10-06,27,False
2019-10-13,40,False
2019-10-20,42,False
2019-10-27,43,False
2019-11-03,13,False
2019-11-10,23,False
2019-11-17,19,False
2019-11-24,41,False
2019-12-01,27,False
2019-12-08,17,False
2019-12-15,13,False
2019-12-22,8,False
2019-12-29,11,False
2020-01-05,26,False
2020-01-12,40,False
2020-01-19,40,False
2020-01-26,43,False
2020-02-02,46,False
2020-02-09,38,False
2020-02-16,50,False
2020-02-23,29,False
2020-03-01,29,False
2020-03-08,17,False
2020-03-15,11,False
2020-03-22,13,False
2020-03-29,13,False
2020-04-05,6,False
2020-04-12,17,False
2020-04-19,16,False
2020-04-26,14,True
